UMD_VEG_LC,ENF=0,EBF=1,DNF=2,DBF=3,MF=4,CShrub=5,OShrub=6,Wsavannas=7,Savannas=8,Grass=9,Crop=10
Tmin_min(C),-8,-8,-8,-6,-7,-8,-8,-8,-8,-8,-8
Tmin_max(C),3.6,20.2,3.7,21.4,17.8,19.4,11.1,13.7,8.1,5.0,21.5
VPD_min(Pa),650,1000,650,650,650,650,650,650,650,650,650
VPD_max(Pa),4650,4300,2450,3450,3900,4650,5350,3650,5100,4150,4950
gl_sh((m/s),0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.04,0.02,0.02
gl_e_wv(m/s),0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.04,0.02,0.02
g_cuticular(m/s),1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05
Cl(m/s),0.0024,0.0024,0.0024,0.0024,0.0024,0.0055,0.0055,0.0055,0.0055,0.0055,0.0055
RBL_MIN(s/m),60,60,60,60,60,60,60,60,60,60,60
RBL_MAX(s/m),95,95,95,95,95,95,95,95,95,95,95
